# Pick&Place Position Data File
#
# Project Name:        kbdkid3
# Project Version:     v1
# Board Name:          reversible
# Generation Software: LibrePCB 2.1.1
# Generation Date:     2026-06-30T21:54:53
# Unit:                mm
# Rotation:            Degrees CCW
# Board Side:          Top
# Assembly Types:      THT, SMT, THT+SMT, Fiducial, Other

Designator,Value,Device,Package,Position X,Position Y,Rotation,Side,Type
JP51,Solder Jumper 2P 2512 (1005),Solder Jumper 2P 2512 (1005),SOLDERJUMPER2X2512 (1005),129.92875,50.4825,180.0,Top,SMT
JP52,Solder Jumper 2P 2512 (1005),Solder Jumper 2P 2512 (1005),SOLDERJUMPER2X2512 (1005),129.92875,47.9425,180.0,Top,SMT
JP6,Solder Jumper 2P 2512 (1005),Solder Jumper 2P 2512 (1005),SOLDERJUMPER2X2512 (1005),129.92875,27.6225,180.0,Top,SMT
JP7,Solder Jumper 2P 2512 (1005),Solder Jumper 2P 2512 (1005),SOLDERJUMPER2X2512 (1005),119.76875,27.6225,0.0,Top,SMT
JP8,Solder Jumper 2P 2512 (1005),Solder Jumper 2P 2512 (1005),SOLDERJUMPER2X2512 (1005),119.76875,32.7025,0.0,Top,SMT
JP9,Solder Jumper 2P 2512 (1005),Solder Jumper 2P 2512 (1005),SOLDERJUMPER2X2512 (1005),119.76875,35.2425,0.0,Top,SMT
S1,SSSS811101,SSSS811101,ALPSALPINE_SSSS811101,128.825625,67.15125,109.0,Top,SMT
S100,PG1350 Kailh Choc V1,PG1350 Kailh Choc V1,KHA-PG1350,9.04875,66.3575,90.0,Top,SMT
S101,PG1350 Kailh Choc V1,PG1350 Kailh Choc V1,KHA-PG1350,9.04875,47.3075,90.0,Top,SMT
S102,PG1350 Kailh Choc V1,PG1350 Kailh Choc V1,KHA-PG1350,9.04875,28.2575,90.0,Top,SMT
S103,PG1350 Kailh Choc V1,PG1350 Kailh Choc V1,KHA-PG1350,9.04875,9.2075,90.0,Top,SMT
S110,PG1350 Kailh Choc V1,PG1350 Kailh Choc V1,KHA-PG1350,28.09875,66.3575,90.0,Top,SMT
S111,PG1350 Kailh Choc V1,PG1350 Kailh Choc V1,KHA-PG1350,28.09875,47.3075,90.0,Top,SMT
S112,PG1350 Kailh Choc V1,PG1350 Kailh Choc V1,KHA-PG1350,28.09875,28.2575,90.0,Top,SMT
S113,PG1350 Kailh Choc V1,PG1350 Kailh Choc V1,KHA-PG1350,28.09875,9.2075,90.0,Top,SMT
S120,PG1350 Kailh Choc V1,PG1350 Kailh Choc V1,KHA-PG1350,47.14875,71.12,90.0,Top,SMT
S121,PG1350 Kailh Choc V1,PG1350 Kailh Choc V1,KHA-PG1350,47.14875,52.07,90.0,Top,SMT
